volume,gw3,gw6,gw7,gw9,gw10,gw11,gw12,gw13,gw14,gw15,gw16,gw17
0.630303,1,1,1,1,1,1,1,1,1,1,1,1
1.26061,1.017757979,1.01169501,1.010848003,1.011537923,1.009719182,1.0088878,1.006972308,1.006269514,1.005862466,1.007027071,1.006239448,1.005766473
1.89091,1.035652893,1.023448817,1.021806536,1.023084205,1.019453878,1.017812119,1.013949545,1.01254449,1.011730973,1.014054141,1.012480048,1.011534009
2.52121,1.053696398,1.035261418,1.032882872,1.034638847,1.029207537,1.026776,1.020931711,1.01882602,1.017610554,1.021082512,1.018721801,1.017301546
3.15152,1.071905974,1.047136379,1.044082828,1.046203938,1.038980158,1.035782487,1.027918807,1.025114105,1.023490136,1.028110883,1.024963553,1.023071208
3.78182,1.09029619,1.059077263,1.055416584,1.057777388,1.04877519,1.044834622,1.034909599,1.031407653,1.029389852,1.035140554,1.031206458,1.028841933
4.41212,1.108887439,1.071085851,1.066888504,1.069363377,1.058590908,1.05393545,1.041906553,1.037707755,1.035289569,1.042171526,1.037450516,1.034613721
5.04242,1.127703029,1.083167488,1.078508767,1.080959815,1.068429037,1.063092577,1.048908436,1.044014411,1.041199354,1.049202498,1.043695726,1.040386572
5.67273,1.146775011,1.095322174,1.090289009,1.092566702,1.0782913,1.072307526,1.055914016,1.050327623,1.047109139,1.056233469,1.049940936,1.046160485
6.30303,1.166132519,1.107553473,1.102235046,1.104186128,1.088181144,1.081586383,1.062925757,1.056647389,1.053039059,1.063265741,1.056188451,1.051935462
6.93333,1.185810516,1.119868511,1.114361424,1.115818093,1.098098571,1.090938278,1.06994366,1.062974802,1.058979047,1.070299314,1.062435966,1.057712565
7.56364,1.205858531,1.132267289,1.126679775,1.127462597,1.108047027,1.100366255,1.076965259,1.069308769,1.064919035,1.077332886,1.068683481,1.063486479
8.19394,1.226329008,1.144756933,1.139201736,1.13912173,1.118026513,1.109882485,1.083994253,1.075650384,1.070879158,1.084367759,1.074933301,1.069268896
8.82424,1.247283131,1.157339225,1.151943304,1.150793402,1.128040476,1.119493056,1.091026943,1.081999646,1.076839282,1.091402631,1.081184273,1.075051314
9.45455,1.268805394,1.170021291,1.164920476,1.162481792,1.138090641,1.129210141,1.098067027,1.088356555,1.082809473,1.098438804,1.087435246,1.080833731
10.0848,1.290989028,1.182804914,1.178149251,1.174184812,1.148180455,1.139045912,1.10511204,1.094723296,1.0887998,1.105474977,1.093688523,1.086616148
10.7152,1.313956402,1.195699001,1.191651444,1.185906639,1.158313365,1.149015586,1.112163215,1.101092222,1.094790127,1.112513751,1.0999418,1.092398566
11.3455,1.33785902,1.208708899,1.205447416,1.197645185,1.16849282,1.159135901,1.119221783,1.107472072,1.10080059,1.119551225,1.10619623,1.098180983
11.9758,1.362895002,1.221838169,1.219560437,1.20940045,1.178722267,1.169425116,1.126285281,1.113862846,1.10682112,1.126591299,1.112452965,1.10397403
12.6061,1.389317826,1.23509394,1.234018139,1.221176613,1.189006878,1.179909098,1.133356172,1.120264545,1.11284165,1.133631373,1.1187097,1.109756448
13.2364,1.417468374,1.248485118,0,1.232973674,1.199348377,1.190615238,1.140433225,1.126677169,1.118882316,1.140672747,1.124968739,1.115549494
13.8667,0,1.262018832,0,1.244793724,1.209755383,1.201578532,1.147516439,1.133089792,1.124943117,1.147714121,1.131227779,1.121342541
14.497,0,1.275702208,0,1.256634671,1.220231343,1.212840064,1.154607047,1.13951334,1.131003918,1.154756796,1.137489124,1.127135588
15.1273,0,1.289544155,0,1.268502787,1.230784878,1.224451569,1.161705048,1.145947812,1.137084855,1.161800771,1.143751621,1.132928635
15.7576,0,1.303557143,0,1.28039389,1.241424607,1.236475434,1.168809212,1.152393209,1.14317586,1.168846047,1.15001527,1.138732311
16.3879,0,1.317746519,0,1.292314251,1.2521557,1.24899687,1.175920769,1.158849529,1.149287,1.175891322,1.156280072,1.144525358
17.0182,0,1.332128317,0,1.30426387,1.262990226,1.262116304,1.183040952,1.165316775,1.15539814,1.182937898,1.162549484,1.150329034
17.6485,0,1.346713228,0,1.316244836,1.273938527,1.275970681,1.190168528,1.171794945,1.161539484,1.189985774,1.168818896,1.156132711
18.2788,0,1.361513723,0,1.328259239,1.285014394,1.290739554,1.197303499,1.178284039,1.167690895,1.197034951,1.175088308,1.161936387
18.9091,0,1.376544057,0,1.340309169,1.296233343,0,1.204447095,1.184784057,1.173852374,1.204085428,1.18135772,1.167750693
19.5394,0,1.391822045,0,1.352396716,1.307612612,0,1.211598086,1.191295,1.180033989,1.211135904,1.187627131,1.173554369
20.1697,0,1.407363723,0,1.364526059,1.319174611,0,1.218758934,1.197816868,1.186235739,1.218188982,1.193896543,1.179368675
20.8,0,1.42318869,0,1.376699289,1.33094175,0,1.225927176,1.204360584,1.192447557,1.225242059,1.20017748,1.185182981
21.4303,0,1.439318326,0,1.388920585,1.342943336,0,1.233105277,1.2109043,1.19867951,1.232296437,1.206458416,1.190997286
